firstName,lastName,id,grade1,grade2,grade3,finalGrade
dan,tzadok,123456789,70,93.6,86,64
danny,bresler,46464651,80,81.6,86,74
meir,tzion,3186464,50,91.6,89,78
ofir,shalom,486464,90,0,0,40
ofira,ben-haim,6464684,60,85.6,95,30
danielle,ben-dor,646464,100,89.6,85,80
miriam,haim,6646464,5,93.6,91,40
nir,levy,6432198,89,87.2,79,70
dor,levi,3516498,98,80.4,89,99
mor,or,31631864,65,85.6,85,55
shalom,shaked,316168,78,84.6,82,37
shlomit,luria,31351681,59,93.6,94,86
bar,benediva,3135186,84,93.6,89,67
dafna,cohen,35131684,89,81.6,88,10
dafni,oz,631684684,89,77.6,89,75
dan,or,35168486,96,0,81,20
yonatan,levy,3516468,87,85.6,86,25
dror,levi,34684864,23,92.6,92,60
ronit,cohen,34168486,91,93.6,91,56
